Al Co Cr Cu Fe Hf Mn Mo Nb Ni Ta Ti W Zr V Mg Re Os Rh Ir Pd Pt Ag Au Zn Cd Hg
Al -0.23 -0.13 -0.09 -0.23 -0.25 -0.13 -0.28 -0.33 -0.36 -0.25 -0.29 -0.16 -0.29 -0.24 0.02 -0.09 -0.21 -0.62 -0.51 -0.64 -0.69 -0.02 -0.20 0.01 0.12 0.17
Co -0.33 -0.06 0.12 -0.04 -0.11 0.04 -0.02 -0.07 -0.00 -0.08 -0.16 -0.02 -0.07 -0.15 0.16 0.07 0.10 0.05 0.02 0.04 -0.05 0.35 0.21 0.01 0.28 0.41
Cr -0.11 0.10 0.08 -0.10 0.09 -0.04 -0.08 -0.05 -0.10 -0.02 -0.01 -0.07 0.12 -0.07 0.26 -0.02 -0.11 -0.16 -0.26 -0.08 -0.28 0.32 0.10 -0.01 0.27 0.38
Cu -0.15 0.09 0.29 0.05 0.03 0.15 0.07 0.04 0.03 0.09 -0.01 0.14 0.00 0.05 0.01 0.23 0.28 0.05 0.09 -0.09 -0.10 0.11 0.00 -0.07 0.10 0.10
Fe -0.24 0.06 0.09 0.20 -0.00 -0.04 -0.05 -0.06 -0.09 -0.06 -0.13 -0.05 -0.03 -0.15 0.15 0.01 0.01 -0.06 -0.07 0.02 -0.21 0.24 0.07 -0.05 0.21 0.33
Hf -0.36 -0.20 0.17 -0.05 -0.02 0.11 -0.06 -0.02 -0.20 0.03 0.03 0.02 -0.00 0.08 0.08 -0.03 -0.23 -0.56 -0.58 -0.52 -0.76 0.03 -0.33 -0.09 0.02 0.01
Mn -0.22 0.03 -0.01 0.14 0.02 -0.01 0.01 0.03 0.01 0.01 -0.03 0.01 0.15 -0.10 0.30 0.04 0.00 -0.05 -0.11 -0.09 -0.20 0.28 0.05 0.01 0.28 0.35
Mo -0.21 0.11 0.11 0.27 0.14 -0.08 0.07 -0.14 -0.09 -0.14 -0.12 -0.09 -0.03 -0.15 0.08 -0.04 -0.15 -0.25 -0.33 -0.19 -0.39 0.20 -0.01 -0.07 0.14 0.27
Nb -0.26 -0.00 0.14 0.16 0.06 -0.03 0.03 -0.06 -0.15 -0.05 -0.05 -0.08 0.03 -0.06 0.05 -0.07 -0.21 -0.40 -0.46 -0.34 -0.57 0.12 -0.16 -0.12 0.04 0.12
Ni -0.51 -0.02 0.06 0.01 -0.04 -0.32 -0.01 0.05 -0.10 -0.15 -0.24 -0.07 -0.18 -0.19 -0.01 0.01 0.07 0.04 0.01 0.07 -0.04 0.24 0.14 -0.15 0.13 0.31
Ta -0.21 -0.07 0.10 0.15 0.01 -0.00 -0.03 -0.12 -0.00 -0.15 -0.01 -0.09 0.06 -0.01 0.15 -0.10 -0.25 -0.43 -0.50 -0.34 -0.57 0.22 -0.08 -0.01 0.18 0.26
